term	df	idf
abc	1	8.638703
abilities	1	8.638703
abit	2	7.945555
able	21	5.594180
abm	3	7.540090
aboard	1	8.638703
abobo	1	8.638703
abot	1	8.638703
about	2017	1.029336
abouts	1	8.638703
above	84	4.207886
abrasive	1	8.638703
absobed	1	8.638703
absolute	5	7.029265
absolutely	1	8.638703
absorb	32	5.172967
absorbed	78	4.281994
absorbent	7	6.692792
absorbing	1	8.638703
absorbs	2	7.945555
absorded	1	8.638703
abut	1	8.638703
acacia	1	8.638703
acar	1	8.638703
accent	6	6.846943
accept	1	8.638703
accidentally	1	8.638703
accoding	1	8.638703
accommodate	6	6.846943
accomodate	1	8.638703
accompanied	2	7.945555
accompaniment	4	7.252408
accompany	3	7.540090
accompanying	1	8.638703
accomyany	1	8.638703
accord	2	7.945555
according	206	3.310826
accordingly	6	6.846943
accumulated	10	6.336118
accumulates	1	8.638703
accurate	1	8.638703
acheive	1	8.638703
achieve	8	6.559261
achieved	7	6.692792
achiote	5	7.029265
acid	11	6.240807
acidic	1	8.638703
acidity	2	7.945555
acids	3	7.540090
acini	2	7.945555
acommodate	1	8.638703
acorean	1	8.638703
acorn	13	6.073753
across	58	4.578260
acrylic	1	8.638703
act	5	7.029265
acting	2	7.945555
action	2	7.945555
activate	2	7.945555
active	39	4.975141
acts	1	8.638703
actual	2	7.945555
actually	12	6.153796
ad	4	7.252408
adam	1	8.638703
adapted	1	8.638703
addicting	1	8.638703
addictive	3	7.540090
addition	97	4.063992
additional	237	3.170642
additionally	3	7.540090
additions	13	6.073753
additives	2	7.945555
additonal	1	8.638703
addittional	1	8.638703
adds	9	6.441478
adequate	1	8.638703
adhere	8	6.559261
adhered	1	8.638703
adheres	2	7.945555
adhering	3	7.540090
adjacent	1	8.638703
adjust	132	3.755901
adjusted	2	7.945555
adjusting	6	6.846943
adjustment	1	8.638703
adjustments	1	8.638703
admit	2	7.945555
adn	1	8.638703
adoba	1	8.638703
adobe	1	8.638703
adobo	35	5.083355
adsorbed	1	8.638703
adult	1	8.638703
advance	24	5.460649
advisable	1	8.638703
advise	1	8.638703
adviseable	1	8.638703
advised	2	7.945555
advocaat	2	7.945555
adzuki	11	6.240807
aerate	3	7.540090
aerosol	2	7.945555
affect	3	7.540090
afford	2	7.945555
afghanistan	1	8.638703
aforementioned	1	8.638703
afraid	2	7.945555
africa	2	7.945555
african	9	6.441478
afrikaner	1	8.638703
after	378	2.703808
afternoon	2	7.945555
afterwards	1	8.638703
aga	1	8.638703
again	218	3.254208
against	14	5.999645
