surface	wiki_title	type
"404"	Dog meat consumption in Nigeria	dish
"Face the wall"	Kokonte	dish
"Jumbled"	Jambalaya	dish
"Kadyos	Kadyos, baboy, kag langka	dish
"Kadyos	Kadyos, manok, kag ubad	dish
"Manok at kadyos"	Kadyos, manok, kag ubad	dish
"Mixed up"	Jambalaya	dish
"Ube" haupia pie	Sweet potato haupia pie	dish
"sikeko maasu" (सिकेको मासु)	Sekuwa	ingredient
&quot;Flower&quot; tofu	Douhua	dish
&quot;Taiwanese hamburger&quot;	Koah-pau	dish
&quot;Velhote&quot;	Velhote	dish
&quot;mekike&quot;	Mekitsa	dish
&quot;sal prieta&quot;	Salprieta	condiment
'''' ''xiaolong mantou''	Xiaolongbao	dish
'''Branquinho''' (in Rio Grande do Sul)	Beijinho	dish
'''Easter shortcake'''	Mazurek (cake)	dish
'''Fuži'''	Fusi (pasta)	ingredient
'''Pais''' (Sundanese)	Pepes	ingredient
'''po-boy''''''po boy'''	Po' boy	ingredient
''Adafina''	Hamin	ingredient
''Agnolotti piemontesi''	Agnolotti	dish
''Akple''	Banku (dish)	dish
''Amik''	Lokot-lokot	dish
''Américain''	Mitraillette	ingredient
''Arancino'' (Italian singular form)	Arancini	dish
''Ardoria''	Salmorejo	dish
''Atol''	Atole	ingredient
''Ayam rica''	Ayam rica-rica	dish
''Ba-chui'' (Chinese)''Batsoy'' (Tagalog)''Bachoy'' (Spanish)	Batchoy	dish
''Bagna caouda'' (in Alpes-Maritimes)	Bagna càuda	dish
''Balsone''	Bensone	dish
''Bami''	Bakmi	dish
''Baram-tteok''	Gaepi-tteok	dish
''Barbagliata''	Barbajada	ingredient
''Batsoy/Batsoy Tagalog''	Batchoy Tagalog	dish
''Berber pizza''	Medfouna	dish
''Bilad	Daing	dish
''Bingka''	Bibingka	dish
''Bingkah''	Bibingka	dish
''Bingsoo''	Bingsu	dish
''Biriyani''	Biryani	dish
''Biscotti Camporelli''	Camporelli	dish
''Brodet''	Brudet	dish
